date,actual,predicted,anomaly_flag,residual,upper_threshold,lower_threshold
2024-12-01,4972,4699.628358051414,0,272.37164194858633,5152.6003927849315,4246.656323317896
2024-12-02,5176,4882.969961774327,0,293.0300382256728,5335.941996507845,4429.997927040809
2024-12-03,4378,4586.954777428255,0,-208.9547774282546,5039.926812161772,4133.982742694737
2024-12-04,4474,4638.68654750689,0,-164.68654750688984,5091.658582240408,4185.714512773372
2024-12-05,4853,4919.180466957354,0,-66.18046695735393,5372.152501690872,4466.208432223836
2024-12-06,5344,5172.708079304422,0,171.29192069557757,5625.68011403794,4719.736044570905
2024-12-07,3665,4484.398675828746,1,-819.3986758287456,4937.370710562263,4031.4266410952278
2024-12-08,4729,4870.4881702535295,0,-141.48817025352946,5323.460204987047,4417.516135520012
2024-12-09,5393,5076.267349751086,0,316.73265024891407,5529.239384484604,4623.295315017568
2024-12-10,4575,4798.346090397977,0,-223.3460903979767,5251.3181251314945,4345.374055664459
2024-12-11,4703,4861.857165762042,0,-158.8571657620423,5314.82920049556,4408.8851310285245
2024-12-12,5081,5146.091453054639,0,-65.0914530546388,5599.063487788157,4693.119418321121
2024-12-13,5679,5394.057019120753,0,284.94298087924744,5847.02905385427,4941.084984387235
2024-12-14,4876,4690.268852903183,0,185.73114709681704,5143.240887636701,4237.296818169665
2024-12-15,5172,5051.135463461483,0,120.86453653851731,5504.1074981950005,4598.163428727965
2024-12-16,5412,5222.973466744726,0,189.02653325527444,5675.945501478243,4770.001432011208
2024-12-17,4631,4904.252722543166,0,-273.2527225431659,5357.224757276684,4451.280687809648
2024-12-18,4670,4922.69048464216,0,-252.6904846421603,5375.662519375678,4469.7184499086425
2024-12-19,5392,5160.69122757603,0,231.30877242397037,5613.6632623095475,4707.719192842512
2024-12-20,5680,5364.639554943229,0,315.3604450567709,5817.611589676747,4911.667520209711
2024-12-21,5012,4622.376805912007,0,389.6231940879934,5075.348840645524,4169.404771178489
2024-12-22,5122,4953.258131160685,0,168.74186883931543,5406.230165894202,4500.286096427167
2024-12-23,5417,5105.855318482428,0,311.1446815175723,5558.827353215946,4652.88328374891
2024-12-24,3928,4779.942046970413,1,-851.9420469704128,5232.914081703931,4326.970012236895
2024-12-25,1664,1675.9144818901373,0,-11.914481890137267,2128.886516623655,1222.9424471566197
2024-12-26,4528,4578.9572959430225,0,-50.95729594302247,5031.92933067654,4125.985261209505
2024-12-27,5128,5286.825309257985,0,-158.82530925798528,5739.797343991503,4833.853274524467
2024-12-28,4875,4575.638678560053,0,299.36132143994655,5028.610713293571,4122.666643826536
2024-12-29,4951,4939.535316259269,0,11.464683740730834,5392.507350992787,4486.563281525751
2024-12-30,5163,5122.82205924437,0,40.177940755629606,5575.794093977888,4669.850024510853
2024-12-31,4248,4821.04515028041,1,-573.0451502804099,5274.017185013928,4368.073115546892
2025-01-01,4044,4307.846572330209,0,-263.8465723302088,4760.818607063727,3854.874537596691
2025-01-02,5079,5113.097256376332,0,-34.09725637633164,5566.0692911098495,4660.125221642814
2025-01-03,5466,5327.789316631495,0,138.21068336850476,5780.761351365013,4874.817281897977
2025-01-04,4973,4586.649047148919,0,386.3509528510813,5039.621081882437,4133.677012415401
2025-01-05,4934,4906.168294544279,0,27.83170545572102,5359.140329277797,4453.196259810761
